"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","91","Kelco Constructions","91","Kelco Constructions","","","16359","INV0001","25.8.2022","5,621.08","5,621.08","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16360","INV0002","25.8.2022","2,292.38","2,292.38","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16361","INV0003","25.8.2022","1,754.81","1,754.81","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16362","INV0004","25.8.2022","1,637.52","1,637.52","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","93","Devcon Civil","93","Devcon Civil","","","16363","INV0005","25.8.2022","976.60","976.60","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16364","INV0006","25.8.2022","623.50","623.50","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16365","INV0007","25.8.2022","1,891.71","1,891.71","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16366","INV0008","25.8.2022","2,634.27","2,634.27","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16368","INV0010","25.8.2022","2,835.81","2,835.81","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","8.9.2022","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","16369","INV0011","25.8.2022","1,352.08","1,352.08","Email/PDF","Sent"
