"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","127","BGI Group","127","BGI Group","","","24050","QLD1046","30.9.2023","2,123.55","2,123.55","Email/PDF","Viewed"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","127","BGI Group","127","BGI Group","","","24051","QLD1047","30.9.2023","3,362.29","3,362.29","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","129","NuGrow Pty Ltd","129","NuGrow Pty Ltd","","","24052","QLD1048","30.9.2023","1,413.93","1,413.93","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","129","NuGrow Pty Ltd","129","NuGrow Pty Ltd","","","24053","QLD1049","30.9.2023","1,833.61","1,833.61","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","127","BGI Group","127","BGI Group","","","24182","QLD1050","30.9.2023","2,689.83","2,689.83","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24183","QLD1051","30.9.2023","956.18","956.18","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24184","QLD1052","30.9.2023","327.12","327.12","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.10.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24185","QLD1053","30.9.2023","629.07","629.07","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","30.10.2023","127","BGI Group","127","BGI Group","","","24334","QLD1054","16.10.2023","2,831.40","2,831.40","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","30.10.2023","127","BGI Group","127","BGI Group","","","24335","QLD1055","16.10.2023","2,123.55","2,123.55","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","30.10.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24336","QLD1056","16.10.2023","993.72","993.72","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","30.10.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24337","QLD1057","16.10.2023","993.72","993.72","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","127","BGI Group","127","BGI Group","","","24626","QLD1058","26.10.2023","3,397.68","3,397.68","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","127","BGI Group","127","BGI Group","","","24627","QLD1059","26.10.2023","2,636.74","2,636.74","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24628","QLD1060","26.10.2023","1,647.12","1,647.12","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24629","QLD1061","26.10.2023","1,647.12","1,647.12","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","135","Yeti Services","135","Yeti Services","","","24630","QLD1062","26.10.2023","2,292.93","2,292.93","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","127","BGI Group","127","BGI Group","","","24631","QLD1063","26.10.2023","2,831.40","2,831.40","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","127","BGI Group","127","BGI Group","","","24632","QLD1064","26.10.2023","2,831.40","2,831.40","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24633","QLD1065","26.10.2023","2,139.73","2,139.73","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24634","QLD1066","26.10.2023","2,139.73","2,139.73","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24635","QLD1067","26.10.2023","498.05","498.05","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","9.11.2023","135","Yeti Services","135","Yeti Services","","","24636","QLD1068","26.10.2023","2,931.40","2,931.40","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24773","QLD1069","31.10.2023","2,019.29","2,019.29","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24774","QLD1070","31.10.2023","2,019.29","2,019.29","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24775","QLD1071","31.10.2023","1,879.06","1,879.06","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","14.11.2023","135","Yeti Services","135","Yeti Services","","","24776","QLD1072","31.10.2023","2,331.59","2,331.59","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.11.2023","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","159","Commercial Trades Services 2 U Pty Ltd T/A Earthrite Constructions","","","24777","QLD1073","5.11.2023","739.35","739.35","Email/PDF","Sent"
