"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources Pty Ltd","","","","19.9.2018","3","Geopractika","3","Geopractika","","","3","INV1000","5.9.2018","561.98","561.98","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","19.9.2018","3","Geopractika","3","Geopractika","","","7","INV1001","5.9.2018","762.63","762.63","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","19.9.2018","3","Geopractika","3","Geopractika","","","11","INV1002","5.9.2018","2,353.57","2,353.57","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","24.9.2018","3","Geopractika","3","Geopractika","","","15","INV1003","10.9.2018","2,087.32","2,087.32","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","24.9.2018","3","Geopractika","3","Geopractika","","","19","INV1004","10.9.2018","2,294.66","2,294.66","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","24.9.2018","3","Geopractika","3","Geopractika","","","23","INV1005","10.9.2018","2,294.66","2,294.66","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.10.2018","3","Geopractika","3","Geopractika","","","27","INV1006","18.9.2018","2,813.16","2,813.16","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.10.2018","3","Geopractika","3","Geopractika","","","31","INV1007","18.9.2018","2,884.19","2,884.19","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","35","INV1008","18.9.2018","615.04","615.04","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","39","INV1009","18.9.2018","562.32","562.32","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","43","INV1010","18.9.2018","1,980.87","1,980.87","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","47","INV1011","18.9.2018","2,061.45","2,061.45","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","3","Geopractika","3","Geopractika","","","51","INV1012","25.9.2018","1,589.63","1,589.63","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","3","Geopractika","3","Geopractika","","","55","INV1013","25.9.2018","2,223.16","2,223.16","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","3","Geopractika","3","Geopractika","","","59","INV1014","25.9.2018","2,130.50","2,130.50","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","63","INV1015","25.9.2018","2,571.83","2,571.83","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","67","INV1016","25.9.2018","2,629.63","2,629.63","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","71","INV1017","25.9.2018","2,811.60","2,811.60","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","75","INV1018","25.9.2018","299.90","299.90","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","79","INV1019","25.9.2018","1,608.86","1,608.86","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","83","INV1020","25.9.2018","1,011.40","1,011.40","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","87","INV1021","25.9.2018","874.72","874.72","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","9.10.2018","7","National Reinforced Concrete","7","National Reinforced Concrete","","","91","INV1022","25.9.2018","1,109.02","1,109.02","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","16.10.2018","3","Geopractika","3","Geopractika","","","95","INV1023","2.10.2018","1,685.76","1,685.76","Email/PDF","Sent"
